method,N,replication,obj_out_of_sample
lhs,5,0,191.30488024679738
lhs,5,1,184.80396891502397
lhs,5,2,186.34833106205738
lhs,5,3,192.91778709026656
lhs,5,4,191.73321986821185
lhs,5,5,198.29230178120793
lhs,5,6,197.01454297844293
lhs,5,7,194.98801852338025
lhs,5,8,185.76477169876532
lhs,5,9,194.56249879563612
lhs,10,0,183.22483460877382
lhs,10,1,179.44594423566096
lhs,10,2,180.75550568457024
lhs,10,3,179.82096739443404
lhs,10,4,179.85775741949624
lhs,10,5,181.8187160509126
lhs,10,6,183.76721535707176
lhs,10,7,179.48230596761482
lhs,10,8,177.0568392991167
lhs,10,9,179.20034308825487
lhs,15,0,178.56110022331308
lhs,15,1,178.02089484498887
lhs,15,2,180.07031553810305
lhs,15,3,175.703778816445
lhs,15,4,178.2312229125461
lhs,15,5,178.14159874424575
lhs,15,6,180.4815858768914
lhs,15,7,177.5295387748106
lhs,15,8,177.79828440611124
lhs,15,9,177.59834768187858
lhs,20,0,177.15732695861186
lhs,20,1,176.6854730658946
lhs,20,2,177.14515003955043
lhs,20,3,176.86925759233114
lhs,20,4,175.51776975521003
lhs,20,5,177.66544906674596
lhs,20,6,176.8332566623615
lhs,20,7,177.37764505874864
lhs,20,8,176.79754850744993
lhs,20,9,176.4185453754165
lhs,25,0,176.0616882564105
lhs,25,1,175.6174957063951
lhs,25,2,175.08384648225922
lhs,25,3,177.30281213007612
lhs,25,4,176.44718503703922
lhs,25,5,176.42828053988907
lhs,25,6,176.52288626924056
lhs,25,7,176.28647315826672
lhs,25,8,176.91877638530025
lhs,25,9,175.48958206996699
lhs,30,0,175.58451355678628
lhs,30,1,175.24260397484508
lhs,30,2,175.33588797282454
lhs,30,3,175.8049631109777
lhs,30,4,175.5508908190602
lhs,30,5,175.78325464135227
lhs,30,6,176.3376051569477
lhs,30,7,176.79987308956535
lhs,30,8,176.12548037840702
lhs,30,9,176.66921868528314
