method,N,replication,obj_out_of_sample
random,1,0,350.92938636479187
random,1,1,517.2209471796133
random,1,2,467.91734842515126
random,1,3,370.1881519156005
random,1,4,389.8062602589792
random,1,5,287.88782683668774
random,1,6,479.1457683281705
random,1,7,411.8528426596924
random,1,8,415.4744151873798
random,1,9,248.53815434764
random,4,0,222.2677655767199
random,4,1,236.29380894686727
random,4,2,206.2557242867915
random,4,3,235.36132299982205
random,4,4,226.4657458312526
random,4,5,215.5652900866064
random,4,6,229.83706890150623
random,4,7,195.4021659192177
random,4,8,215.21549119447116
random,4,9,218.4600842944372
random,7,0,203.68163176830396
random,7,1,204.7252614869424
random,7,2,206.00317193169704
random,7,3,201.67486669817708
random,7,4,203.5520036072644
random,7,5,201.5778667136469
random,7,6,194.80939409669878
random,7,7,186.2832685010084
random,7,8,207.15075562161297
random,7,9,198.05144027047905
