method,N,replication,obj_out_of_sample
is,5,0,259.7992677467153
is,5,1,235.31922791503345
is,5,2,327.04167946703683
is,5,3,218.27936260673002
is,5,4,214.6509345751994
is,5,5,278.3621057100236
is,5,6,280.5152401320839
is,5,7,270.8888166215117
is,5,8,258.9794803839024
is,5,9,284.0425022230133
is,10,0,219.97928062856988
is,10,1,238.34698805003688
is,10,2,226.74126801866302
is,10,3,213.10387094927086
is,10,4,216.6338522497083
is,10,5,228.38003698589264
is,10,6,227.1662589705343
is,10,7,222.3755251494597
is,10,8,195.2687038352858
is,10,9,200.13174254586994
is,15,0,222.678282918887
is,15,1,214.40866338776036
is,15,2,212.93105279448682
is,15,3,207.97097478556057
is,15,4,209.38885983056247
is,15,5,194.94439194571396
is,15,6,239.4547105176503
is,15,7,197.88184139231993
is,15,8,195.86894809854078
is,15,9,215.0087824068671
is,20,0,204.50958397496981
is,20,1,205.14813677677625
is,20,2,196.58851778231676
is,20,3,200.95232791520164
is,20,4,189.25082278907504
is,20,5,194.6422218774417
is,20,6,239.17193282608173
is,20,7,195.08522463670928
is,20,8,191.3969901489587
is,20,9,204.12372551088643
is,25,0,195.31579473907414
is,25,1,192.33836109302104
is,25,2,206.40364084484617
is,25,3,210.01465461912
is,25,4,205.1816613136622
is,25,5,204.90908390787132
is,25,6,203.21784628139125
is,25,7,190.94966305429412
is,25,8,219.19811912181177
is,25,9,199.0082252178521
is,30,0,193.30823020645948
is,30,1,194.247647365343
is,30,2,190.99811641580595
is,30,3,200.17482930921253
is,30,4,190.50846763525198
is,30,5,192.13131081628222
is,30,6,224.26420541099714
is,30,7,194.08454102501827
is,30,8,230.0539705403142
is,30,9,201.36587635161834
