comparison_seed,n_sessions,n_train,n_prime,method,is_k,mode,step,status,mip_gap_pct,in_sample_obj,oos_total,oos_W,oos_I,oos_O,oos_D,n_patients,comp_S_0,comp_S_1,comp_S_2,comp_M_0,comp_M_1,comp_M_2,comp_L_0,comp_L_1,comp_L_2,N_S_0,N_S_1,N_S_2,N_M_0,N_M_1,N_M_2,N_L_0,N_L_1,N_L_2
53,3,20,10000,lhs,0.5,blueprint,3,9,99.99999999996804,74.07151037544912,79.82052126738145,30.43891168503374,22.698348305491777,26.683261276855934,0.0,15,3,5,5,0,1,0,1,0,0,6,5,5,1,1,1,1,0,0
54,3,20,10000,lhs,0.5,baseline,1,2,2.2875947856009753e-09,82.9829831102455,87.74398152439538,37.71867382526385,31.84342395042001,18.18188374871152,0.0,17,5,6,6,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
54,3,20,10000,lhs,0.5,baseline,2,9,80.30700144842436,72.25298647192604,85.48380752721887,41.69683812724166,28.39693152749139,15.390037872485818,0.0,17,5,6,6,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
54,3,20,10000,lhs,0.5,baseline,3,9,99.99999999998109,71.57187109633871,83.09412142602224,42.07019031729585,26.674914375972403,14.349016732753991,0.0,17,6,6,5,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
54,3,20,10000,lhs,0.5,blueprint,1,2,2.2875947856009753e-09,82.9829831102455,87.74398152439538,37.71867382526385,31.84342395042001,18.18188374871152,0.0,17,5,6,6,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
54,3,20,10000,lhs,0.5,blueprint,2,9,77.9209206355366,72.25298647192604,85.48380752721887,41.69683812724166,28.39693152749139,15.390037872485818,0.0,17,5,6,6,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
54,3,20,10000,lhs,0.5,blueprint,3,3,,,,,,,,17,0,0,0,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
55,3,20,10000,lhs,0.5,baseline,1,2,0.0,76.97528484448625,77.4844175709728,31.521252081377195,27.881898016350075,18.081267473245532,0.0,16,5,5,6,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
55,3,20,10000,lhs,0.5,baseline,2,9,82.30873561169547,65.55969848223474,80.2535695295085,43.04367466589606,23.281487207107066,13.928407656505364,0.0,16,5,5,6,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
55,3,20,10000,lhs,0.5,baseline,3,9,99.99999999998025,65.55969848223474,80.2535695295085,43.04367466589606,23.281487207107066,13.928407656505364,0.0,16,5,5,6,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
55,3,20,10000,lhs,0.5,blueprint,1,2,0.0,76.97528484448625,77.4844175709728,31.521252081377195,27.881898016350075,18.081267473245532,0.0,16,5,5,6,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
55,3,20,10000,lhs,0.5,blueprint,2,9,81.99815510569633,65.55969848223474,80.2535695295085,43.04367466589606,23.281487207107066,13.928407656505364,0.0,16,5,5,6,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
55,3,20,10000,lhs,0.5,blueprint,3,9,99.99999999996305,64.93204508573046,74.39147505585981,35.62780507495899,24.815637281340504,13.948032699560319,0.0,16,6,5,5,0,0,0,0,0,0,6,5,5,1,1,1,1,0,0
