method,N,replication,obj_out_of_sample
random,1,0,350.92938636479187
random,1,1,517.2209471796133
random,1,2,467.91734842515126
random,1,3,370.1881519156005
random,1,4,389.8062602589792
random,1,5,287.88782683668774
random,1,6,479.1457683281705
random,1,7,411.8528426596924
random,1,8,415.4744151873798
random,1,9,248.53815434764
random,4,0,222.2677655767199
random,4,1,236.29380894686727
random,4,2,206.2557242867915
random,4,3,235.36132299982205
random,4,4,226.4657458312526
random,4,5,215.5652900866064
random,4,6,229.83706890150623
random,4,7,195.4021659192177
random,4,8,215.2154911944712
random,4,9,218.4600842944372
random,5,0,220.651604141663
random,5,1,199.3959939657063
random,5,2,216.51496682990606
random,5,3,194.18498464576567
random,5,4,210.83762400477295
random,5,5,217.10709190936555
random,5,6,241.30878037914425
random,5,7,225.34279506359331
random,5,8,209.07372716190116
random,5,9,209.08151821289457
random,7,0,203.681631768304
random,7,1,204.7252614869424
random,7,2,206.00317193169704
random,7,3,201.67486669817708
random,7,4,203.5520036072644
random,7,5,201.5778667136469
random,7,6,194.8093940966988
random,7,7,186.2832685010084
random,7,8,207.15075562161297
random,7,9,198.05144027047905
random,10,0,190.69201946343807
random,10,1,189.35928375214675
random,10,2,194.56527536497788
random,10,3,194.34748096801644
random,10,4,191.88505665448855
random,10,5,189.05304936951487
random,10,6,191.4448665910654
random,10,7,196.50089831247627
random,10,8,183.88612503430275
random,10,9,191.80369966485944
random,15,0,188.81859998733378
random,15,1,187.79363278911555
random,15,2,190.3753576194859
random,15,3,184.71320259792364
random,15,4,181.44705666561376
random,15,5,180.63774522770817
random,15,6,198.37360824594742
random,15,7,188.02620924572588
random,15,8,191.47247003365433
random,15,9,190.79786269269212
random,20,0,185.38601934393947
random,20,1,185.83291788340102
random,20,2,186.66456783396097
random,20,3,184.50643337231517
random,20,4,179.18444064812124
random,20,5,182.21707669063426
random,20,6,181.26716576038675
random,20,7,183.0666483965392
random,20,8,189.21793688133903
random,20,9,185.2465999180129
random,25,0,177.20386947098447
random,25,1,180.18917039870433
random,25,2,189.91341388838399
random,25,3,179.31268990078465
random,25,4,181.86062801990906
random,25,5,189.12109435923807
random,25,6,184.4348432046388
random,25,7,179.95401892715358
random,25,8,186.51123529337855
random,25,9,181.91024741749436
random,30,0,181.93307959234946
random,30,1,179.95665131482545
random,30,2,177.57231509528256
random,30,3,179.78702244388677
random,30,4,177.89436573198935
random,30,5,183.69729573599162
random,30,6,188.45358273483092
random,30,7,179.5852952452288
random,30,8,182.25431194511708
random,30,9,190.0099983426532
