method,N,replication,obj_out_of_sample
is,5,0,207.50535357779364
is,5,1,227.68419147487944
is,5,2,277.935228033712
is,5,3,212.56697998897934
is,5,4,202.8720658155992
is,5,5,262.7073761321374
is,5,6,265.1367615533377
is,5,7,254.9872607871491
is,5,8,267.7244379152257
is,5,9,261.97719954913765
is,10,0,216.3590564452703
is,10,1,260.9276816654037
is,10,2,230.2461358599571
is,10,3,247.19321631352318
is,10,4,202.49780406897685
is,10,5,210.46670153038752
is,10,6,206.3326990465828
is,10,7,214.06615537878284
is,10,8,213.33406003237891
is,10,9,187.80211136666244
is,15,0,187.86544582851332
is,15,1,183.11024680071836
is,15,2,192.40696487865455
is,15,3,192.8250692160314
is,15,4,187.53249606540544
is,15,5,185.4025125121065
is,15,6,203.57902258867244
is,15,7,174.0820994380809
is,15,8,188.233051826257
is,15,9,206.00561963694767
is,20,0,172.58333727825158
is,20,1,179.76485563703736
is,20,2,184.78058132650426
is,20,3,184.13521638760477
is,20,4,177.27905592242243
is,20,5,188.47976160270568
is,20,6,201.33019970188707
is,20,7,166.693761776805
is,20,8,170.24306032806874
is,20,9,173.90567641345515
is,25,0,180.12045501261306
is,25,1,161.68079605738313
is,25,2,178.93733054630343
is,25,3,169.72017976432076
is,25,4,202.2302287561547
is,25,5,175.00645005991737
is,25,6,163.37642723887043
is,25,7,165.78479150000433
is,25,8,205.61114283691916
is,25,9,164.24020586650704
is,30,0,166.16609288104155
is,30,1,162.69596166349112
is,30,2,169.71261791499643
is,30,3,177.466849560848
is,30,4,170.53106237532762
is,30,5,171.57131325620196
is,30,6,184.88036942631672
is,30,7,177.50475903444743
is,30,8,187.3646462959037
is,30,9,170.21795235244866
