method,N,replication,obj_out_of_sample
is,10,0,459.97758659394935
is,10,1,466.2892108636082
is,10,2,459.46319085570383
is,10,3,465.8959807054756
is,10,4,452.1682625630632
is,10,5,447.4035653647028
is,10,6,456.39862073111374
is,10,7,459.1902372689131
is,10,8,459.10569134029765
is,10,9,455.7467417513333
is,15,0,432.91959714241966
is,15,1,431.0706745460317
is,15,2,435.82798716724267
is,15,3,435.5207317616987
is,15,4,439.33360976981476
is,15,5,431.42887133786587
is,15,6,437.0105796828037
is,15,7,430.5056928640084
is,15,8,429.5862418351775
is,15,9,433.9327930395661
is,20,0,418.8385241423564
is,20,1,436.03130642677604
is,20,2,429.71816258806564
is,20,3,422.47372200381244
is,20,4,424.26531524542384
is,20,5,415.1229424501107
is,20,6,419.0681044135739
is,20,7,427.6570203595089
is,20,8,437.79285341886833
is,20,9,435.06829146466714
is,25,0,431.86672424869414
is,25,1,423.4055936779113
is,25,2,429.0320790369662
is,25,3,436.562674348227
is,25,4,431.57157531894086
is,25,5,437.6308473085289
is,25,6,429.79902871774294
is,25,7,427.9723197771286
is,25,8,450.739035494252
is,25,9,419.33618614187463
lhs,10,0,404.94633667623725
lhs,10,1,404.80381882868187
lhs,10,2,407.1098490368545
lhs,10,3,407.0563908545679
lhs,10,4,408.70237199412134
lhs,10,5,406.23890181674994
lhs,10,6,404.96716902536104
lhs,10,7,405.9272241047363
lhs,10,8,408.5913263708635
lhs,10,9,407.3274525950901
lhs,15,0,402.86384099699285
lhs,15,1,401.80388344576454
lhs,15,2,401.68073663267444
lhs,15,3,403.17204390609925
lhs,15,4,401.85533680756873
lhs,15,5,402.85640318248926
lhs,15,6,401.96222342782033
lhs,15,7,403.6284119687232
lhs,15,8,404.0947719052283
lhs,15,9,404.41083418553904
lhs,20,0,402.7745850734841
lhs,20,1,401.86341039273157
lhs,20,2,403.04159673921595
lhs,20,3,401.56081471176026
lhs,20,4,402.60611634151644
lhs,20,5,402.058633805299
lhs,20,6,402.62586643812875
lhs,20,7,403.90693985428504
lhs,20,8,401.841934304774
lhs,20,9,402.02780256998784
lhs,25,0,400.896792298372
lhs,25,1,402.34993878596606
lhs,25,2,402.55897264177844
lhs,25,3,401.2083636527891
lhs,25,4,402.7166190893414
lhs,25,5,403.04679686038526
lhs,25,6,402.08148381699993
lhs,25,7,402.70075164442716
lhs,25,8,403.80319626868385
lhs,25,9,400.84109578934596
random,10,0,416.99084244965877
random,10,1,411.64982323154584
random,10,2,423.157026959352
random,10,3,423.88122256073365
random,10,4,426.2048969908876
random,10,5,414.9514045632271
random,10,6,418.2629560348571
random,10,7,415.242230637001
random,10,8,412.54696592031956
random,10,9,427.4271617945226
random,15,0,417.9284578748634
random,15,1,415.15046886218033
random,15,2,411.18261363667284
random,15,3,415.6614863424813
random,15,4,410.6169304293734
random,15,5,408.07887710920306
random,15,6,418.9513446060426
random,15,7,415.72409981995554
random,15,8,414.6795726884786
random,15,9,416.1367237223203
random,20,0,411.02852395901584
random,20,1,407.6788033397228
random,20,2,410.35601557547477
random,20,3,407.6237776162386
random,20,4,408.5824944849537
random,20,5,408.75018197665753
random,20,6,405.7156297952758
random,20,7,405.6770528902168
random,20,8,409.4865885988008
random,20,9,410.0686342376857
random,25,0,408.6665744773401
random,25,1,404.94132068919623
random,25,2,410.60752410711046
random,25,3,405.45524592195625
random,25,4,405.7400177588927
random,25,5,409.761036513534
random,25,6,409.9949551713539
random,25,7,405.8885388469669
random,25,8,409.3194165304145
random,25,9,407.7283398852146
