seed,n_realizations,n_scenarios,beta5,method,is_k,time_limit,cluster_seed,status,mip_gap_pct,objective,slot_cost,op_cost,total_slots,N_S_0,N_S_1,N_S_2,N_M_0,N_M_1,N_M_2,N_L_0,N_L_1,N_L_2
45,5,20,1.0,lhs,1.0,600,42,9,83.36764331700071,120.24754147106135,22.0,98.24754147106135,22,5,7,7,2,1,0,0,0,0
46,5,20,1.0,lhs,1.0,600,42,9,81.78809121555332,104.32734001079534,19.0,85.32734001079534,19,6,5,5,1,1,1,0,0,0
47,5,20,1.0,lhs,1.0,600,42,9,84.40473803458497,115.4196706661385,18.0,97.4196706661385,18,6,6,5,1,0,0,0,0,0
48,5,20,1.0,lhs,1.0,600,42,9,83.9094455399807,124.29652470769466,20.0,104.29652470769466,20,6,6,5,0,1,1,1,0,0
49,5,20,1.0,lhs,1.0,600,42,9,80.743189508042,103.85935930748084,20.0,83.85935930748083,20,5,6,5,2,1,0,1,0,0
50,5,20,1.0,lhs,1.0,600,42,9,84.20612954357742,113.96826414189346,19.0,94.96826414189346,19,6,5,6,1,1,0,0,0,0
