method,N,replication,obj_out_of_sample
is,10,0,448.77940009883287
is,10,1,473.68212357083826
is,10,2,473.1548876053444
is,10,3,438.2688534982916
is,10,4,470.9539550228163
is,10,5,459.4742576207816
is,10,6,478.7934132350888
is,10,7,433.73219795799173
is,10,8,457.46283857404654
is,10,9,471.35724655589524
is,15,0,423.2509444529736
is,15,1,426.9454862125218
is,15,2,418.6370273475844
is,15,3,425.4580972027946
is,15,4,434.4534281127306
is,15,5,412.6861717973061
is,15,6,430.1477785459746
is,15,7,430.78597154766436
is,15,8,433.6633205804593
is,15,9,426.49234096318344
is,20,0,410.88003891844824
is,20,1,412.00179312320586
is,20,2,442.9913499563488
is,20,3,404.3555401017311
is,20,4,429.2967669171293
is,20,5,408.03902879574395
is,20,6,410.16425279239934
is,20,7,415.01560518043345
is,20,8,432.4855892084031
is,20,9,405.68255885283656
is,25,0,396.39807721977047
is,25,1,405.0099482397327
is,25,2,400.25562340921897
is,25,3,412.8844877409544
is,25,4,409.7652286161733
is,25,5,415.6755489079054
is,25,6,423.4879433164108
is,25,7,409.41470717662423
is,25,8,437.0074506543409
is,25,9,390.4073232019499
lhs,10,0,384.67686817726127
lhs,10,1,383.6753308823634
lhs,10,2,392.451236709308
lhs,10,3,380.972810116731
lhs,10,4,388.0901304487688
lhs,10,5,385.6420505929748
lhs,10,6,384.5276000750249
lhs,10,7,382.4444872637469
lhs,10,8,388.1584019712204
lhs,10,9,385.4886608790234
lhs,15,0,383.3301856893193
lhs,15,1,380.9406287564627
lhs,15,2,388.49839642770365
lhs,15,3,387.8692743546809
lhs,15,4,382.45147274669773
lhs,15,5,379.73826885743495
lhs,15,6,382.5631149048455
lhs,15,7,383.8061689903288
lhs,15,8,382.45746679935735
lhs,15,9,379.95372210303333
lhs,20,0,379.21247917253095
lhs,20,1,382.9025063043894
lhs,20,2,380.67075180772235
lhs,20,3,380.242476678368
lhs,20,4,379.1999152007596
lhs,20,5,383.0884558290576
lhs,20,6,382.91459165401324
lhs,20,7,383.99892930459316
lhs,20,8,382.01696116271376
lhs,20,9,380.6615500403109
lhs,25,0,380.5056420737361
lhs,25,1,380.12708271386725
lhs,25,2,380.3737489422217
lhs,25,3,379.203905576625
lhs,25,4,381.0491341004861
lhs,25,5,379.3138520610533
lhs,25,6,378.5383038842609
lhs,25,7,378.7261377933356
lhs,25,8,379.4477630976985
lhs,25,9,380.01529670157646
random,10,0,397.6891513213818
random,10,1,406.6287146656886
random,10,2,396.85838330931506
random,10,3,412.96190481135636
random,10,4,405.70856841752493
random,10,5,400.8692633595702
random,10,6,395.44128402939293
random,10,7,411.5183251549811
random,10,8,395.2295960680359
random,10,9,411.0109233082046
random,15,0,397.70635378681754
random,15,1,392.8388932290014
random,15,2,400.75745502302874
random,15,3,399.01279297826113
random,15,4,387.52436075063633
random,15,5,386.8056601034427
random,15,6,402.1908387928378
random,15,7,402.3748554601488
random,15,8,397.86393384698243
random,15,9,407.7579846932406
random,20,0,391.90525391120735
random,20,1,389.01686140113713
random,20,2,392.1500285941329
random,20,3,391.36415354239386
random,20,4,392.5363040847329
random,20,5,391.0228178853904
random,20,6,385.8737265001323
random,20,7,386.2870820593448
random,20,8,386.6486820338979
random,20,9,386.71946913679085
random,25,0,390.34960840742957
random,25,1,385.9176685612247
random,25,2,395.5867384067132
random,25,3,387.93508305586045
random,25,4,382.433133387388
random,25,5,388.15106437785596
random,25,6,388.68223754159567
random,25,7,387.74906929680446
random,25,8,389.1723182683686
random,25,9,389.5674972619146
